Price,Day,Day1
73.2,Tuesday,2
67.2,Monday,1
71.6,Sunday,0
68.9,Saturday,6
67.9,Friday,5
64.3,Thursday,4
66.4,Wednesday,3
80.1,Tuesday,2
76.3,Monday,1
93.9,Sunday,0
94.2,Saturday,6
96.8,Friday,5
96.9,Thursday,4
106.3,Wednesday,3
99.4,Tuesday,2
100.7,Monday,1
99.2,Sunday,0
95.9,Saturday,6
100.3,Friday,5
103.4,Thursday,4
100.6,Wednesday,3
98.6,Tuesday,2
104.5,Monday,1
104.5,Sunday,0
105.0,Saturday,6
105.4,Friday,5
106.9,Thursday,4
111.9,Wednesday,3
113.8,Tuesday,2
111.3,Monday,1
108.8,Sunday,0
114.3,Saturday,6
110.9,Friday,5
107.4,Thursday,4
110.5,Wednesday,3
104.8,Tuesday,2
102.4,Monday,1
110.2,Sunday,0
112.8,Saturday,6
110.7,Friday,5
114.2,Thursday,4
111.6,Wednesday,3
122.7,Tuesday,2
124.8,Monday,1
128.8,Sunday,0
124.7,Saturday,6
124.8,Friday,5
123.8,Thursday,4
131.0,Wednesday,3
130.0,Tuesday,2
127.3,Monday,1
129.7,Sunday,0
124.9,Saturday,6
123.9,Friday,5
126.5,Thursday,4
122.4,Wednesday,3
122.7,Tuesday,2
116.1,Monday,1
114.9,Sunday,0
116.9,Saturday,6
111.9,Friday,5
110.2,Thursday,4
111.4,Wednesday,3
106.8,Tuesday,2
105.7,Monday,1
101.7,Sunday,0
105.5,Saturday,6
104.6,Friday,5
102.6,Thursday,4
106.9,Wednesday,3
100.8,Tuesday,2
98.4,Monday,1
101.0,Sunday,0
104.9,Saturday,6
101.1,Friday,5
111.9,Thursday,4
110.4,Wednesday,3
112.5,Tuesday,2
113.8,Monday,1
102.9,Sunday,0
108.2,Saturday,6
109.2,Friday,5
104.2,Thursday,4
105.4,Wednesday,3
107.4,Tuesday,2
102.9,Monday,1
110.6,Sunday,0
115.6,Saturday,6
114.9,Friday,5
116.3,Thursday,4
127.6,Wednesday,3
131.7,Tuesday,2
124.5,Monday,1
125.6,Sunday,0
