Price,Day
2963.0,Friday
2983.95,Thursday
3076.38,Wednesday
3102.01,Tuesday
3055.64,Monday
2989.05,Sunday
3058.96,Saturday
3042.01,Friday
3021.93,Thursday
3116.92,Wednesday
3027.25,Tuesday
2978.29,Monday
3201.84,Sunday
3259.35,Saturday
3193.93,Friday
3228.84,Thursday
3169.58,Wednesday
3406.78,Tuesday
3520.41,Monday
3521.1,Sunday
3442.34,Saturday
3456.18,Friday
3282.35,Thursday
3385.64,Wednesday
3401.89,Tuesday
3329.38,Monday
3297.04,Sunday
3146.01,Saturday
3103.51,Friday
3109.25,Thursday
3036.12,Wednesday
2969.64,Tuesday
2891.63,Monday
2861.69,Sunday
2949.92,Saturday
2939.76,Friday
2812.29,Thursday
2773.94,Wednesday
2617.43,Tuesday
2589.3,Monday
2516.75,Sunday
2569.8,Saturday
2556.96,Friday
2606.5,Thursday
2726.94,Wednesday
2577.21,Tuesday
2492.53,Monday
2549.4,Sunday
2665.42,Saturday
2622.15,Friday
2834.91,Thursday
2947.14,Wednesday
2975.81,Tuesday
2922.5,Monday
2616.34,Sunday
2776.96,Saturday
2767.53,Friday
2596.52,Thursday
2578.15,Wednesday
2636.13,Tuesday
2569.87,Monday
2619.32,Sunday
2763.81,Saturday
2779.56,Friday
2894.03,Thursday
3118.9,Wednesday
3182.27,Tuesday
2929.31,Monday
2870.25,Sunday
2917.1,Saturday
2927.63,Friday
3071.83,Thursday
3243.62,Wednesday
3115.88,Tuesday
3140.18,Monday
3056.2,Sunday
3013.81,Saturday
2994.99,Friday
2692.8,Thursday
2681.0,Wednesday
2787.16,Tuesday
2686.82,Monday
2602.77,Sunday
2600.02,Saturday
2545.95,Friday
2424.66,Thursday
2461.41,Wednesday
2458.07,Tuesday
2441.01,Monday
2540.81,Sunday
2412.52,Saturday
2571.29,Friday
3004.72,Thursday
3083.65,Wednesday
3160.15,Tuesday
3209.35,Monday
3346.59,Sunday
3327.74,Saturday
3307.9,Friday
3238.03,Thursday
3370.89,Wednesday
3237.89,Tuesday
3085.43,Monday
3150.3,Sunday
3080.02,Saturday
3195.31,Friday
3407.77,Thursday
3535.86,Wednesday
3789.52,Tuesday
3764.24,Monday
3830.67,Sunday
3765.67,Saturday
3677.85,Friday
3709.57,Thursday
3627.93,Wednesday
3791.69,Tuesday
4036.24,Monday
4061.27,Sunday
4093.14,Saturday
4043.39,Friday
4110.14,Thursday
3979.54,Wednesday
4016.59,Tuesday
3938.8,Monday
3925.34,Sunday
3959.83,Saturday
3878.29,Friday
3956.62,Thursday
4019.24,Wednesday
3861.55,Tuesday
3781.94,Monday
4131.78,Sunday
4075.66,Saturday
3903.48,Friday
