Price,Day
40382.0,Saturday
40560.0,Friday
39936.0,Thursday
41133.0,Wednesday
40078.0,Tuesday
39497.0,Monday
42138.0,Sunday
42767.0,Saturday
42275.0,Friday
43448.0,Thursday
43173.0,Wednesday
45506.0,Tuesday
46629.0,Monday
46407.0,Sunday
45811.0,Saturday
46297.0,Friday
45525.0,Thursday
47075.0,Wednesday
47449.0,Tuesday
47105.0,Monday
46859.0,Sunday
44548.0,Saturday
44331.0,Friday
44013.0,Thursday
42912.0,Wednesday
42373.0,Tuesday
41022.0,Monday
41276.0,Sunday
42233.0,Saturday
41767.8,Friday
40914.8,Thursday
41118.7,Wednesday
39285.7,Tuesday
39671.1,Monday
37792.4,Sunday
38814.3,Saturday
38730.2,Friday
39416.3,Thursday
41929.0,Wednesday
38744.8,Tuesday
38024.8,Monday
38403.1,Sunday
39395.8,Saturday
39142.7,Friday
42463.0,Thursday
43912.8,Wednesday
44420.3,Tuesday
43188.2,Monday
37689.1,Sunday
39115.5,Saturday
39209.6,Friday
38339.2,Thursday
37224.6,Wednesday
38248.2,Tuesday
37017.7,Monday
38355.0,Sunday
40090.3,Saturday
40000.1,Friday
40552.8,Thursday
43883.6,Wednesday
44544.4,Tuesday
42550.3,Monday
42061.1,Sunday
42205.2,Saturday
42388.4,Friday
43521.0,Thursday
44388.9,Wednesday
44038.2,Tuesday
43833.9,Monday
42392.2,Sunday
41412.1,Saturday
41567.6,Friday
37287.8,Thursday
36890.2,Wednesday
38709.7,Tuesday
38498.6,Monday
37917.7,Sunday
38170.8,Saturday
37745.1,Friday
37164.3,Thursday
36800.4,Wednesday
36950.6,Tuesday
36686.3,Monday
36269.5,Sunday
35075.2,Saturday
36475.5,Friday
40715.9,Thursday
41677.8,Wednesday
42364.6,Tuesday
42209.3,Monday
43079.1,Sunday
43097.0,Saturday
43073.3,Friday
42560.0,Thursday
43901.0,Wednesday
42733.2,Tuesday
41832.2,Monday
41848.3,Sunday
41672.0,Saturday
41546.7,Friday
43097.5,Thursday
43425.9,Wednesday
45837.3,Tuesday
46430.2,Monday
47311.8,Sunday
47738.0,Saturday
46219.5,Friday
47123.3,Thursday
46461.7,Wednesday
47545.2,Tuesday
50678.2,Monday
50779.9,Sunday
50406.4,Saturday
50786.1,Friday
50801.0,Thursday
48599.7,Wednesday
48902.0,Tuesday
46895.2,Monday
46704.5,Sunday
46856.2,Saturday
46172.2,Friday
47628.2,Thursday
48871.5,Wednesday
48366.5,Tuesday
46703.6,Monday
50081.0,Sunday
49314.5,Saturday
47137.2,Friday
47596.6,Thursday
50473.9,Wednesday
50595.2,Tuesday
50562.1,Monday
49405.5,Sunday
49195.2,Saturday
53631.5,Friday
56496.0,Thursday
57210.3,Wednesday
56882.9,Tuesday
57794.8,Monday
57291.5,Sunday
54765.9,Saturday
53730.9,Friday
58935.1,Thursday
57171.7,Wednesday
57573.2,Tuesday
56308.8,Monday
