Date,Price,Open,High,Low,Vol.,Change %
7-Mar-23,"1,575.30","1,565.84","1,575.80","1,561.91",307.71K,0.60%
6-Mar-23,"1,565.84","1,564.36","1,581.13","1,555.43",322.16K,0.09%
5-Mar-23,"1,564.37","1,566.73","1,587.95","1,556.84",313.01K,-0.15%
4-Mar-23,"1,566.73","1,569.45","1,577.02","1,550.10",247.02K,-0.14%
3-Mar-23,"1,568.89","1,647.86","1,649.19","1,547.61",783.74K,-4.76%
2-Mar-23,"1,647.38","1,666.09","1,677.45","1,620.20",440.63K,-1.12%
1-Mar-23,"1,666.09","1,604.69","1,668.55","1,595.40",497.12K,3.83%
28-Feb-23,"1,604.69","1,633.66","1,646.33","1,598.67",411.49K,-1.77%
27-Feb-23,"1,633.66","1,641.59","1,664.98","1,609.82",458.53K,-0.48%
26-Feb-23,"1,641.60","1,594.66","1,648.77","1,588.65",326.58K,2.94%
25-Feb-23,"1,594.66","1,608.24","1,608.62","1,562.10",309.29K,-0.84%
24-Feb-23,"1,608.24","1,650.52","1,663.82","1,579.68",548.07K,-2.56%
23-Feb-23,"1,650.52","1,643.39","1,678.20","1,630.94",529.75K,0.43%
22-Feb-23,"1,643.39","1,659.41","1,666.39","1,600.79",560.40K,-0.97%
21-Feb-23,"1,659.41","1,703.29","1,716.35","1,637.16",554.52K,-2.58%
20-Feb-23,"1,703.27","1,681.49","1,719.10","1,651.54",478.59K,1.29%
19-Feb-23,"1,681.52","1,691.62","1,722.28","1,670.97",427.00K,-0.60%
18-Feb-23,"1,691.62","1,693.96","1,708.87","1,681.17",283.51K,-0.14%
17-Feb-23,"1,693.96","1,640.66","1,720.06","1,631.92",617.21K,3.25%
16-Feb-23,"1,640.66","1,675.43","1,738.87","1,634.97",894.27K,-2.08%
15-Feb-23,"1,675.43","1,555.45","1,676.94","1,542.80",627.07K,7.71%
14-Feb-23,"1,555.46","1,505.85","1,565.20","1,494.30",705.28K,3.29%
13-Feb-23,"1,505.84","1,515.44","1,525.56","1,464.10",681.85K,-0.63%
12-Feb-23,"1,515.44","1,538.34","1,547.30","1,495.05",302.73K,-1.49%
11-Feb-23,"1,538.34","1,513.12","1,542.64","1,508.07",306.24K,1.62%
10-Feb-23,"1,513.82","1,545.35","1,554.19","1,499.49",523.33K,-2.04%
9-Feb-23,"1,545.35","1,650.97","1,655.96","1,530.98",702.21K,-6.40%
