Price,Day,Day1
0.070719,Monday,1
0.07415,Sunday,0
0.063688,Saturday,6
0.061582,Friday,5
0.061757,Thursday,4
0.058728,Wednesday,3
0.064283,Tuesday,2
0.059948,Monday,1
0.057401,Sunday,0
0.055554,Saturday,6
0.05757,Friday,5
0.062113,Thursday,4
0.053744,Wednesday,3
0.054027,Tuesday,2
0.054102,Monday,1
0.053637,Sunday,0
0.054426,Saturday,6
0.053973,Friday,5
0.051263,Thursday,4
0.05151,Wednesday,3
0.053437,Tuesday,2
0.054929,Monday,1
0.057471,Sunday,0
0.058827,Saturday,6
0.05827,Friday,5
0.057294,Thursday,4
0.05788,Wednesday,3
0.058611,Tuesday,2
0.056965,Monday,1
0.058431,Sunday,0
0.062694,Saturday,6
0.055261,Friday,5
0.055893,Thursday,4
0.0559,Wednesday,3
0.057978,Tuesday,2
0.062848,Monday,1
0.051881,Sunday,0
0.050935,Saturday,6
0.049584,Friday,5
0.049927,Thursday,4
0.050474,Wednesday,3
0.050279,Tuesday,2
0.050576,Monday,1
0.048129,Sunday,0
0.050076,Saturday,6
0.050463,Friday,5
0.050045,Thursday,4
0.056653,Wednesday,3
0.047673,Tuesday,2
0.05353,Monday,1
0.055881,Sunday,0
0.054135,Saturday,6
0.055036,Friday,5
0.059134,Thursday,4
0.049467,Wednesday,3
0.053513,Tuesday,2
0.056442,Monday,1
0.062639,Sunday,0
0.066249,Saturday,6
0.069791,Friday,5
0.069611,Thursday,4
0.072584,Wednesday,3
0.070012,Tuesday,2
0.078793,Monday,1
0.078508,Sunday,0
0.057465,Saturday,6
0.046783,Friday,5
0.052944,Thursday,4
0.037345,Wednesday,3
0.031296,Tuesday,2
0.034705,Monday,1
0.036841,Sunday,0
0.028197,Saturday,6
0.046597,Friday,5
0.036265,Thursday,4
0.007441,Wednesday,3
0.00824,Tuesday,2
0.008353,Monday,1
0.008714,Sunday,0
0.008571,Saturday,6
0.008516,Friday,5
0.008172,Thursday,4
0.009055,Wednesday,3
0.009053,Tuesday,2
0.009172,Monday,1
0.009094,Sunday,0
0.009235,Saturday,6
0.009373,Friday,5
0.0094,Thursday,4
0.008669,Wednesday,3
0.008066,Tuesday,2
0.008828,Monday,1
0.009831,Sunday,0
0.010158,Saturday,6
0.009753,Friday,5
0.009724,Thursday,4
0.010443,Wednesday,3
0.009958,Tuesday,2
0.00978,Monday,1
0.00985,Sunday,0
0.010489,Saturday,6
0.005661,Friday,5
0.004666,Thursday,4
0.004627,Wednesday,3
0.004488,Tuesday,2
0.004594,Monday,1
0.004548,Sunday,0
0.004508,Saturday,6
0.004563,Friday,5
0.004573,Thursday,4
0.003767,Wednesday,3
0.004514,Tuesday,2
0.004773,Monday,1
0.004641,Sunday,0
0.003925,Saturday,6
0.003863,Friday,5
0.003723,Thursday,4
0.003423,Wednesday,3
0.003204,Tuesday,2
0.003224,Monday,1
0.003259,Sunday,0
0.003164,Saturday,6
0.003075,Friday,5
0.003109,Thursday,4
0.003158,Wednesday,3
0.003176,Tuesday,2
0.003335,Monday,1
0.003388,Sunday,0
0.003391,Saturday,6
0.003282,Friday,5
0.003433,Thursday,4
0.003369,Wednesday,3
0.00332,Tuesday,2
0.003551,Monday,1
0.00344,Sunday,0
0.003392,Saturday,6
0.00327,Friday,5
0.003245,Thursday,4
0.003716,Wednesday,3
0.00424,Tuesday,2
0.003684,Monday,1
0.00334,Sunday,0
0.00351,Saturday,6
0.002986,Friday,5
0.002905,Thursday,4
0.002904,Wednesday,3
0.002935,Tuesday,2
0.002879,Monday,1
0.002773,Sunday,0
0.002769,Saturday,6
0.002811,Friday,5
0.002773,Thursday,4
0.002757,Wednesday,3
0.00276,Tuesday,2
0.002673,Monday,1
0.002707,Sunday,0
0.00267,Saturday,6
0.002757,Friday,5
0.002639,Thursday,4
0.002546,Wednesday,3
0.002517,Tuesday,2
0.002514,Monday,1
0.002576,Sunday,0
0.002568,Saturday,6
0.002583,Friday,5
0.002576,Thursday,4
0.002583,Wednesday,3
0.002674,Tuesday,2
0.002665,Monday,1
0.002652,Sunday,0
0.002634,Saturday,6
0.002644,Friday,5
0.002647,Thursday,4
0.002624,Wednesday,3
0.002595,Tuesday,2
0.002592,Monday,1
0.002593,Sunday,0
0.002585,Saturday,6
0.002604,Friday,5
0.0026,Thursday,4
0.002638,Wednesday,3
0.002637,Tuesday,2
0.002667,Monday,1
0.002681,Sunday,0
0.002666,Saturday,6
0.002657,Friday,5
0.002609,Thursday,4
0.002595,Wednesday,3
0.002602,Tuesday,2
0.002621,Monday,1
0.002638,Sunday,0
0.002597,Saturday,6
0.00259,Friday,5
0.002625,Thursday,4
0.002634,Wednesday,3
0.002673,Tuesday,2
0.002649,Monday,1
0.002697,Sunday,0
0.002697,Saturday,6
0.002713,Friday,5
0.00263,Thursday,4
0.002549,Wednesday,3
0.002643,Tuesday,2
0.002606,Monday,1
0.002774,Sunday,0
0.002792,Saturday,6
0.002787,Friday,5
0.002807,Thursday,4
0.002793,Wednesday,3
0.002829,Tuesday,2
0.00279,Monday,1
0.002783,Sunday,0
0.002815,Saturday,6
0.002796,Friday,5
0.002805,Thursday,4
0.002781,Wednesday,3
0.002746,Tuesday,2
0.002815,Monday,1
0.002783,Sunday,0
0.00276,Saturday,6
0.002877,Friday,5
0.002777,Thursday,4
0.003118,Wednesday,3
0.003242,Tuesday,2
0.00321,Monday,1
0.003298,Sunday,0
0.003276,Saturday,6
0.003263,Friday,5
0.003205,Thursday,4
0.003293,Wednesday,3
0.00328,Tuesday,2
0.003409,Monday,1
0.003397,Sunday,0
0.003437,Saturday,6
0.003376,Friday,5
0.003441,Thursday,4
0.003417,Wednesday,3
0.003477,Tuesday,2
0.003589,Monday,1
0.003535,Sunday,0
0.003535,Saturday,6
0.00357,Friday,5
0.003483,Thursday,4
0.003462,Wednesday,3
0.003391,Tuesday,2
0.003495,Monday,1
0.003468,Sunday,0
0.003514,Saturday,6
0.003531,Friday,5
0.003559,Thursday,4
0.003501,Wednesday,3
0.003549,Tuesday,2
0.003372,Monday,1
0.003333,Sunday,0
0.003713,Saturday,6
0.003224,Friday,5
0.003227,Thursday,4
0.003171,Wednesday,3
0.003184,Tuesday,2
0.003167,Monday,1
0.003237,Sunday,0
0.003252,Saturday,6
0.003215,Friday,5
0.003298,Thursday,4
0.003289,Wednesday,3
0.0033,Tuesday,2
0.003226,Monday,1
0.003381,Sunday,0
0.003455,Saturday,6
0.003055,Friday,5
0.002981,Thursday,4
0.003094,Wednesday,3
0.003291,Tuesday,2
0.00316,Monday,1
0.003636,Sunday,0
0.003808,Saturday,6
0.003525,Friday,5
0.004331,Thursday,4
0.004757,Wednesday,3
0.003121,Tuesday,2
0.002618,Monday,1
0.002301,Sunday,0
0.002306,Saturday,6
0.002322,Friday,5
0.002322,Thursday,4
0.002327,Wednesday,3
0.002314,Tuesday,2
0.002305,Monday,1
0.002315,Sunday,0
0.002324,Saturday,6
0.002358,Friday,5
0.002408,Thursday,4
0.002425,Wednesday,3
0.002473,Tuesday,2
0.002472,Monday,1
0.002449,Sunday,0
0.002458,Saturday,6
0.002453,Friday,5
0.002454,Thursday,4
0.002481,Wednesday,3
0.002485,Tuesday,2
0.002477,Monday,1
0.002482,Sunday,0
0.002532,Saturday,6
0.002523,Friday,5
0.002455,Thursday,4
0.002585,Wednesday,3
0.002562,Tuesday,2
0.002585,Monday,1
0.002607,Sunday,0
0.002587,Saturday,6
0.002589,Friday,5
0.002632,Thursday,4
0.002594,Wednesday,3
0.002575,Tuesday,2
0.002648,Monday,1
0.002573,Sunday,0
0.002621,Saturday,6
0.002528,Friday,5
0.002532,Thursday,4
0.002511,Wednesday,3
0.002506,Tuesday,2
0.002537,Monday,1
0.002476,Sunday,0
0.002538,Saturday,6
0.002538,Friday,5
0.0025,Thursday,4
0.002517,Wednesday,3
0.002543,Tuesday,2
0.002537,Monday,1
0.00253,Sunday,0
0.002512,Saturday,6
0.002492,Friday,5
0.002575,Thursday,4
0.00252,Wednesday,3
0.002461,Tuesday,2
0.00241,Monday,1
0.002453,Sunday,0
0.002604,Saturday,6
0.002615,Friday,5
0.002661,Thursday,4
0.002479,Wednesday,3
0.002476,Tuesday,2
0.002464,Monday,1
0.002505,Sunday,0
0.002541,Saturday,6
0.002473,Friday,5
0.00246,Thursday,4
0.002505,Wednesday,3
0.002334,Tuesday,2
0.002343,Monday,1
0.002402,Sunday,0
0.002123,Saturday,6
0.002081,Friday,5
0.002054,Thursday,4
0.001998,Wednesday,3
0.00195,Tuesday,2
0.001979,Monday,1
0.002042,Sunday,0
0.002047,Saturday,6
0.002001,Friday,5
0.001998,Thursday,4
0.001987,Wednesday,3
0.001979,Tuesday,2
0.001961,Monday,1
0.001961,Sunday,0
0.002015,Saturday,6
0.001962,Friday,5
0.00202,Thursday,4
0.002004,Wednesday,3
0.002,Tuesday,2
0.001984,Monday,1
0.00185,Sunday,0
0.001872,Saturday,6
0.001841,Friday,5
0.001876,Thursday,4
0.001863,Wednesday,3
0.0018,Tuesday,2
0.001805,Monday,1
0.001721,Sunday,0
0.001774,Saturday,6
0.001781,Friday,5
0.001825,Thursday,4
0.001831,Wednesday,3
0.001844,Tuesday,2
0.001816,Monday,1
0.001726,Sunday,0
0.001781,Saturday,6
0.001773,Friday,5
0.001763,Thursday,4
0.001672,Wednesday,3
0.001703,Tuesday,2
0.001637,Monday,1
0.001695,Sunday,0
0.001687,Saturday,6
0.001753,Friday,5
0.001585,Thursday,4
0.002176,Wednesday,3
0.002205,Tuesday,2
0.002222,Monday,1
0.002178,Sunday,0
0.002408,Saturday,6
0.002485,Friday,5
0.002479,Thursday,4
0.002424,Wednesday,3
0.0025,Tuesday,2
0.00235,Monday,1
0.002276,Sunday,0
0.002216,Saturday,6
0.00229,Friday,5
0.002327,Thursday,4
0.002344,Wednesday,3
0.002476,Tuesday,2
0.002582,Monday,1
0.002678,Sunday,0
0.002598,Saturday,6
0.002645,Friday,5
0.002651,Thursday,4
0.00261,Wednesday,3
0.002839,Tuesday,2
0.002694,Monday,1
0.002756,Sunday,0
0.002903,Saturday,6
0.003101,Friday,5
0.003002,Thursday,4
0.003053,Wednesday,3
0.00307,Tuesday,2
0.002983,Monday,1
0.003228,Sunday,0
0.003171,Saturday,6
0.002786,Friday,5
0.00266,Thursday,4
0.002598,Wednesday,3
0.002512,Tuesday,2
0.002416,Monday,1
0.002439,Sunday,0
0.002432,Saturday,6
0.002381,Friday,5
0.002431,Thursday,4
0.002417,Wednesday,3
0.002415,Tuesday,2
0.002355,Monday,1
0.002296,Sunday,0
0.002248,Saturday,6
0.002282,Friday,5
0.002287,Thursday,4
0.002376,Wednesday,3
0.002389,Tuesday,2
0.002467,Monday,1
0.002423,Sunday,0
0.002503,Saturday,6
0.002479,Friday,5
0.002323,Thursday,4
0.148228,Wednesday,3
0.002356,Tuesday,2
0.002161,Monday,1
0.002205,Sunday,0
0.002179,Saturday,6
0.002208,Friday,5
0.002138,Thursday,4
0.002138,Wednesday,3
0.002182,Tuesday,2
0.002153,Monday,1
0.00208,Sunday,0
0.002307,Saturday,6
0.002042,Friday,5
0.001999,Thursday,4
0.00204,Wednesday,3
0.002015,Tuesday,2
0.002038,Monday,1
0.002153,Sunday,0
0.002122,Saturday,6
0.002104,Friday,5
0.002202,Thursday,4
0.002199,Wednesday,3
